Step 1000; val-loss 1.6764; accuracy: 0 0 0; train-loss: 1.6775
Step 28000; val-loss 2.3242; accuracy: 0 0 0; train-loss: 2.3231
Step 29000; val-loss 2.3346; accuracy: 0 0 0; train-loss: 2.3343
Step 30000; val-loss 2.3186; accuracy: 0 0 0; train-loss: 2.3184
Step 31000; val-loss 2.3044; accuracy: 0 0 0; train-loss: 2.3024
Step 32000; val-loss 2.3057; accuracy: 0 0 0; train-loss: 2.3047
Step 33000; val-loss 2.2909; accuracy: 0 0 0; train-loss: 2.2887
Step 34000; val-loss 2.3154; accuracy: 0 0 0; train-loss: 2.3131
Step 35000; val-loss 2.3916; accuracy: 0 0 0; train-loss: 2.3920
Step 36000; val-loss 2.3297; accuracy: 0 0 0; train-loss: 2.3293
Step 37000; val-loss 2.3133; accuracy: 0 0 0; train-loss: 2.3136
Step 38000; val-loss 2.3305; accuracy: 0 0 0; train-loss: 2.3323
Step 39000; val-loss 2.3733; accuracy: 0 0 0; train-loss: 2.3768
Step 40000; val-loss 2.3786; accuracy: 0 0 0; train-loss: 2.3745
Step 41000; val-loss 2.3208; accuracy: 0 0 0; train-loss: 2.3235
Step 42000; val-loss 2.3878; accuracy: 0 0 0; train-loss: 2.3825
Step 43000; val-loss 2.3160; accuracy: 0 0 0; train-loss: 2.3162
Step 44000; val-loss 2.3394; accuracy: 0 0 0; train-loss: 2.3430
Step 45000; val-loss 2.3136; accuracy: 0 0 0; train-loss: 2.3159
Step 46000; val-loss 2.3150; accuracy: 0 0 0; train-loss: 2.3191
Step 47000; val-loss 2.3164; accuracy: 0 0 0; train-loss: 2.3158
Step 48000; val-loss 2.3053; accuracy: 0 0 0; train-loss: 2.3032
Step 49000; val-loss 2.3064; accuracy: 0 0 0; train-loss: 2.3052
Step 50000; val-loss 2.3199; accuracy: 0 0 0; train-loss: 2.3194
Step 51000; val-loss 2.3292; accuracy: 0 0 0; train-loss: 2.3326
Step 52000; val-loss 2.3246; accuracy: 0 0 0; train-loss: 2.3249
Step 53000; val-loss 2.3207; accuracy: 0 0 0; train-loss: 2.3203
Step 54000; val-loss 2.3188; accuracy: 0 0 0; train-loss: 2.3168
Step 55000; val-loss 2.3085; accuracy: 0 0 0; train-loss: 2.3058
Step 56000; val-loss 2.3137; accuracy: 0 0 0; train-loss: 2.3120
Step 57000; val-loss 2.3008; accuracy: 0 0 0; train-loss: 2.2979
Step 58000; val-loss 2.3074; accuracy: 0 0 0; train-loss: 2.3090
Step 59000; val-loss 2.3117; accuracy: 0 0 0; train-loss: 2.3169
Step 60000; val-loss 2.2883; accuracy: 0 0 0; train-loss: 2.2867
Step 61000; val-loss 2.2999; accuracy: 0 0 0; train-loss: 2.2984
Step 62000; val-loss 2.3339; accuracy: 0 0 0; train-loss: 2.3329
Step 63000; val-loss 2.3261; accuracy: 0 0 0; train-loss: 2.3264
Step 64000; val-loss 2.3284; accuracy: 0 0 0; train-loss: 2.3283
Step 65000; val-loss 2.3047; accuracy: 0 0 0; train-loss: 2.3076
Step 66000; val-loss 2.3056; accuracy: 0 0 0; train-loss: 2.3054
Step 67000; val-loss 2.3028; accuracy: 0 0 0; train-loss: 2.3040
Step 68000; val-loss 2.3029; accuracy: 0 0 0; train-loss: 2.3009
Step 69000; val-loss 2.2932; accuracy: 0 0 0; train-loss: 2.2923
Step 70000; val-loss 2.3030; accuracy: 0 0 0; train-loss: 2.3021
Step 71000; val-loss 2.2870; accuracy: 0 0 0; train-loss: 2.2829
Step 72000; val-loss 2.3142; accuracy: 0 0 0; train-loss: 2.3100
Step 73000; val-loss 2.2514; accuracy: 0 0 0; train-loss: 2.2505
Step 74000; val-loss 2.2959; accuracy: 0 0 0; train-loss: 2.2919
Step 75000; val-loss 2.2925; accuracy: 0 0 0; train-loss: 2.2982
Step 76000; val-loss 2.2501; accuracy: 0 0 0; train-loss: 2.2534
Step 77000; val-loss 2.3076; accuracy: 0 0 0; train-loss: 2.3071
Step 78000; val-loss 2.3016; accuracy: 0 0 0; train-loss: 2.3006
Step 79000; val-loss 2.3123; accuracy: 0 0 0; train-loss: 2.3123
Step 80000; val-loss 2.3584; accuracy: 0 0 0; train-loss: 2.3573
Step 81000; val-loss 2.4130; accuracy: 0 0 0; train-loss: 2.4123
Step 82000; val-loss 2.3632; accuracy: 0 0 0; train-loss: 2.3628
